,name,collider,px,py,pz,rx,ry,rz,sx,sy,sz
0,Fly/FlyCamera3/FlyCamera3Screen,MeshCollider,3.229198455810547,-2.346149444580078,3.748500108718872,0.0,0.0,306.0,5.800000190734863,1.0,9.5
1,Fly/FlyCamera2/FlyCamera2Screen,MeshCollider,3.2291977405548096,2.3461496829986572,3.748500108718872,0.0,0.0,234.0,5.8000006675720215,1.0,9.5
2,Fly/FlyCamera4/FlyCamera4Screen,MeshCollider,-1.2334438562393188,-3.7961509227752686,3.748500108718872,0.0,0.0,18.000003814697266,5.80000114440918,1.0000001192092896,9.5
3,Fly/FlyCamera1/FlyCamera1Screen,MeshCollider,-1.2334439754486084,3.796149730682373,3.748500108718872,0.0,0.0,162.0,5.800000190734863,1.0,9.5
4,cylinder_4096_upY_flipped/default,NA,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,15.0
