,frame,ficTracTReadMs,ficTracTWriteMs,dx,dy,dz
39,28.0,121.0,121.0,-0.00048017592052929103,0.003801264800131321,0.006204622332006693
40,29.0,123.0,123.0,-0.016685836017131805,0.0157944206148386,-0.02499973773956299
41,29.0,128.0,128.0,-0.012191985733807087,-0.011089170351624489,-0.0347394235432148
42,29.0,131.0,131.0,0.008400196209549904,-0.007574392948299646,0.022496549412608147
43,29.0,134.0,134.0,0.02595784142613411,0.02983894757926464,0.011364514008164406
44,30.0,137.0,137.0,0.02296731062233448,-0.00498509407043457,0.016293682157993317
45,30.0,140.0,140.0,-0.02044142223894596,0.0077452524565160275,-0.011261782608926296
46,31.0,142.0,142.0,-0.01346474327147007,-0.005851375870406628,-0.00563789252191782
47,31.0,145.0,145.0,0.008295612409710884,0.004280468914657831,-0.0019698748365044594
48,32.0,148.0,148.0,0.0010829649399966002,0.0012788567692041397,0.006547598633915186
49,32.0,151.0,151.0,-0.005661000031977892,0.0011732247658073902,-0.00013344603939913213
50,32.0,155.0,155.0,0.0075539895333349705,0.005504768807440996,0.0011520031839609146
51,33.0,158.0,158.0,0.0075828516855835915,-0.020573625341057777,0.0059075853787362576
52,34.0,161.0,161.0,-0.027230029925704002,0.003959041088819504,-0.008395753800868988
53,35.0,167.0,167.0,0.000588928465731442,0.0009834086522459984,-0.00869149062782526
54,35.0,169.0,169.0,0.0018352647311985493,0.0014468405861407518,0.005789209622889757
55,35.0,173.0,173.0,0.008678078651428223,0.00530180474743247,0.031502898782491684
56,36.0,176.0,176.0,0.0336277075111866,0.014925997704267502,-0.01386401616036892
57,36.0,179.0,179.0,-0.003391805337741971,-0.002739075105637312,-0.00042597969877533615
58,37.0,182.0,182.0,0.018279841169714928,0.0003559775941539556,0.03194392845034599
59,37.0,186.0,186.0,-0.00388024328276515,0.01583872362971306,-0.000265352864516899
60,37.0,189.0,189.0,0.0002634779375512153,-0.008979898877441883,0.002027018927037716
61,38.0,192.0,192.0,-0.008631669916212559,-0.008206656202673912,0.009359914809465408
62,39.0,195.0,195.0,0.009922814555466175,0.007924887351691723,-0.0007037660107016563
63,39.0,198.0,198.0,0.013202737085521221,0.02370200678706169,0.007019555661827326
64,40.0,201.0,201.0,0.007131046615540981,0.010074038989841938,0.004719940945506096
65,40.0,204.0,204.0,0.010692985728383064,0.01732003502547741,-0.002191628562286496
66,40.0,207.0,207.0,-0.006377086509019136,-0.0005040712421759963,0.004104460123926401
67,41.0,210.0,210.0,-0.011255137622356415,0.0027577646542340517,0.008907181210815907
68,41.0,213.0,213.0,-0.006880027242004871,-0.012237170711159706,0.012863527983427048
69,42.0,216.0,216.0,-0.010712281800806522,0.0017376779578626156,0.0007652194472029805
70,42.0,219.0,219.0,0.009997962042689323,0.007646502926945686,-0.011030361987650394
71,42.0,222.0,222.0,0.00796154048293829,0.0069307126104831696,-0.009734313003718853
72,43.0,225.0,225.0,-0.0033419399987906218,-0.005153093487024307,0.012580041773617268
73,43.0,228.0,228.0,-0.009944413788616657,-0.007893322966992855,0.006888908334076405
74,44.0,231.0,231.0,-0.0014043465489521623,-0.00704647321254015,0.0019408947555348277
75,44.0,234.0,234.0,-0.01902349479496479,0.0053477962501347065,-0.013599098660051823
76,45.0,237.0,237.0,-0.015638483688235283,-0.004634672310203314,-0.009667688049376011
77,45.0,240.0,240.0,0.017271598801016808,-0.0010050057899206877,-0.003388520795851946
78,46.0,243.0,243.0,-0.002508129458874464,0.004535618703812361,-0.0007595143397338688
79,46.0,246.0,246.0,0.009434916079044342,-0.004477086942642927,-0.004069511778652668
80,47.0,249.0,249.0,-0.0023052250035107136,0.008158351294696331,0.02868613414466381
81,47.0,252.0,252.0,0.01842373050749302,0.0006333253113552928,0.004593630786985159
82,47.0,256.0,256.0,0.006478854920715094,0.0048065995797514915,0.010894170962274075
83,48.0,259.0,259.0,-0.003976418171077967,-0.0004631264600902796,0.013281012885272503
84,48.0,262.0,262.0,0.0036306765396147966,0.0033059094566851854,-0.00873439759016037
85,49.0,264.0,264.0,0.0016925075324252248,-0.0010880623012781143,-0.004701840225607157
86,49.0,268.0,268.0,-0.0063115134835243225,-0.004557374399155378,-0.0025927864480763674
87,50.0,271.0,271.0,0.002570883370935917,0.0007309633074328303,0.00026617274852469563
88,50.0,274.0,274.0,0.000904759974218905,0.0027139312587678432,0.0014252776745706797
89,51.0,278.0,278.0,0.000909778696950525,0.001526014064438641,0.0016081822104752064
90,51.0,279.0,279.0,0.0016069792909547687,-0.0009161452180705965,0.009532161056995392
91,52.0,285.0,285.0,-0.0018481864826753736,0.00015851993521209806,0.0006654351018369198
92,52.0,288.0,288.0,-0.000972730340436101,0.0007686352473683655,0.0004656761302612722
93,54.0,295.0,295.0,0.0002812241145875305,0.0021385997533798218,-0.00039152486715465784
94,54.0,299.0,299.0,0.0007977843633852899,0.0035817113239318132,0.007358152884989977
95,54.0,301.0,301.0,-0.014200412668287754,-0.0002868841402232647,0.011059910990297794
96,54.0,304.0,304.0,-0.001858731615357101,0.0027532430831342936,-0.006934124045073986
97,55.0,307.0,307.0,-0.002822514856234193,0.0024976504500955343,-0.004186846781522036
98,55.0,310.0,310.0,-0.001360818394459784,0.0030594980344176292,-0.0013794776750728488
99,56.0,313.0,313.0,0.0036256115417927504,-0.012933281250298023,0.00843686144798994
100,56.0,317.0,317.0,-0.0006549286190420389,0.009861793369054794,0.0036087865009903908
101,59.0,326.0,326.0,-0.005683382973074913,-0.00480251107364893,0.0022678226232528687
102,59.0,328.0,328.0,-0.004044360481202602,-0.005266798194497824,0.0032436400651931763
103,59.0,331.0,331.0,0.00710665388032794,0.007582793477922678,-0.00391483074054122
104,59.0,335.0,335.0,0.010670823976397514,0.008062636479735374,0.029060734435915947
105,59.0,338.0,338.0,0.02884347178041935,0.019720930606126785,0.00696910172700882
106,60.0,341.0,341.0,-0.0009841009741649032,0.003008621046319604,-0.0013008535606786609
107,60.0,344.0,344.0,-0.006756200455129147,0.0014045820571482182,0.0036395674105733633
108,61.0,346.0,346.0,0.008855320513248444,-0.0006209773127920926,-0.0008708583191037178
109,61.0,349.0,349.0,-0.01939202845096588,-0.0024172565899789333,0.01998410001397133
110,61.0,352.0,352.0,0.008621564134955406,-0.0027652611024677753,0.0029842474032193422
111,62.0,356.0,356.0,0.0023061614483594894,0.005110913421958685,0.004777987953275442
112,62.0,359.0,359.0,0.0013900345657020807,0.004055395256727934,0.004753291606903076
113,63.0,362.0,362.0,0.0075525627471506596,-0.009304157458245754,0.008853637613356113
114,63.0,365.0,365.0,0.021685970947146416,-0.00038940980448387563,0.003978769760578871
115,64.0,368.0,368.0,0.0016211094334721565,0.0017892667092382908,-0.0008010618621483445
116,64.0,371.0,371.0,0.00460400665178895,0.0018758040387183428,0.009575937874615192
117,65.0,377.0,377.0,-0.003070336300879717,0.001647498458623886,0.013018887490034103
118,66.0,384.0,384.0,-0.006212892942130566,-0.010459265671670437,0.013318508863449097
119,66.0,386.0,386.0,-0.006735706236213446,-0.009549901820719242,-0.0003708009608089924
120,67.0,389.0,389.0,0.025315962731838226,0.012789159081876278,0.0007539335638284683
121,67.0,392.0,392.0,0.0061040762811899185,0.0021438461262732744,0.010610586032271385
122,68.0,396.0,396.0,0.008017436601221561,0.0031729675829410553,0.012377846986055374
123,69.0,401.0,401.0,-0.00012438869453035295,-0.004741541109979153,0.01221319381147623
124,69.0,404.0,404.0,0.010820411145687103,0.010158753953874111,0.004477673210203648
125,69.0,408.0,408.0,0.00042664873762987554,-0.015347286127507687,0.0182463601231575
126,70.0,411.0,411.0,0.005276390351355076,0.007666630204766989,-0.0029190790373831987
127,70.0,413.0,413.0,0.004181246273219585,0.003832531627267599,0.012156911194324493
128,71.0,417.0,417.0,0.015473212115466595,0.014411631040275097,0.0014070019824430346
129,71.0,420.0,420.0,0.024446232244372368,-0.009639429859817028,0.02020527794957161
130,72.0,424.0,424.0,-0.01683487929403782,-0.0011689643142744899,-0.005324847996234894
131,72.0,426.0,426.0,-0.013564114458858967,-0.0008423730614595115,-0.0024140747264027596
132,72.0,429.0,429.0,0.012440654449164867,-0.0006114487769082189,0.01616138033568859
133,73.0,432.0,432.0,0.014945494942367077,0.008852333761751652,0.010979401879012585
134,73.0,436.0,436.0,-0.003705382812768221,0.0034245934803038836,0.002442986238747835
135,74.0,438.0,438.0,-0.0012816133676096797,-0.0012688213028013706,0.0009562241029925644
136,74.0,441.0,441.0,-0.007194087840616703,-0.007476272992789745,0.0003751731710508466
137,75.0,444.0,444.0,-0.0038507264107465744,0.002366909058764577,-0.0005511994240805507
138,75.0,447.0,447.0,0.006717528682202101,-0.0014452378964051604,0.016944607719779015
139,75.0,450.0,450.0,0.005686251912266016,-0.00026165161398239434,0.0003070899110753089
140,76.0,453.0,453.0,-0.007614217232912779,-0.0017138790572062135,-0.001612938940525055
141,76.0,457.0,457.0,0.0017098465468734503,-0.0008299245382659137,0.0017157350666821003
142,77.0,459.0,459.0,0.002408462343737483,0.0003342017880640924,0.0005565468454733491
143,77.0,463.0,463.0,0.0067948889918625355,-0.0027698357589542866,0.009196790866553783
144,78.0,466.0,466.0,-0.005932643078267574,0.007292570546269417,-0.011419171467423439
145,78.0,469.0,469.0,0.013698382303118706,-0.0026249755173921585,0.006400387268513441
146,79.0,472.0,472.0,0.004371976479887962,0.009863105602562428,-0.0004805786011274904
147,79.0,475.0,475.0,-0.0027212705463171005,-0.010804373770952225,-0.009326400235295296
148,79.0,478.0,478.0,-0.01187885645776987,0.00947945099323988,-0.015515516512095928
149,80.0,481.0,481.0,-0.0009101633331738412,0.0035161275882273912,0.001234634080901742
150,80.0,484.0,484.0,-0.007519339211285114,-0.008159528486430645,-0.00038161681732162833
151,81.0,487.0,487.0,-0.006280549801886082,0.0046575432643294334,-0.0073147923685610294
152,81.0,490.0,490.0,0.0034338838886469603,0.002045093337073922,0.006327393464744091
153,82.0,493.0,493.0,0.011265018954873085,-0.005758270621299744,-0.0043043275363743305
154,82.0,496.0,496.0,-0.011865267530083656,-0.006636444479227066,-0.005689630750566721
155,82.0,499.0,499.0,-0.012998174875974655,0.0010951313888654113,-0.011628047563135624
156,83.0,502.0,502.0,-0.01166511606425047,0.00031960330670699477,-0.01108227577060461
157,83.0,505.0,505.0,0.02064080722630024,0.010355873964726925,-0.004690052941441536
158,84.0,508.0,508.0,-0.003120121546089649,0.00020582573779392987,0.0024025309830904007
159,84.0,512.0,512.0,0.005127449054270983,-0.010963489301502705,0.00406939722597599
160,85.0,515.0,515.0,-0.016708726063370705,0.007010540459305048,-0.014937416650354862
161,85.0,517.0,517.0,-0.005990191362798214,-0.017003720626235008,-0.0027701000217348337
162,86.0,521.0,521.0,-0.0015439725248143077,0.01368668396025896,-0.01673024520277977
163,86.0,524.0,524.0,0.015110653825104237,0.006677627097815275,-0.003911952022463083
164,86.0,526.0,526.0,0.0002019978710450232,0.014053286984562874,-0.003596574068069458
165,87.0,530.0,530.0,-0.007513188757002354,-0.011391831561923027,-0.005439951550215483
166,87.0,532.0,532.0,-0.019723521545529366,-0.008047154173254967,-0.010245424695312977
167,88.0,536.0,536.0,0.00769656291231513,-0.003598669311031699,-0.0037809074856340885
168,88.0,539.0,539.0,0.004805883392691612,0.007103382609784603,-0.007577826268970966
169,89.0,542.0,542.0,0.003566538682207465,-0.004000489134341478,0.00238426448777318
170,89.0,545.0,545.0,0.0003189363924320787,0.0022273235954344273,0.001169905299320817
171,90.0,547.0,547.0,-0.0005655482527799904,-0.0004950293223373592,-0.00011366736725904047
172,90.0,550.0,550.0,0.0015613934956490993,0.0022275077644735575,-0.004129965789616108
173,90.0,553.0,553.0,-0.0050254338420927525,0.002886423608288169,-0.011041413992643356
174,91.0,557.0,557.0,-0.004802274983376265,-0.0030289862770587206,0.001587208709679544
175,91.0,560.0,560.0,0.0010067201219499111,0.0033890646882355213,0.002927684225142002
176,92.0,563.0,563.0,0.00041778376908041537,-0.0002826714189723134,0.0004267649201210588
177,92.0,566.0,566.0,0.0002480748516973108,0.0012692828895524144,0.0010703575098887086
178,93.0,569.0,569.0,0.00030530866933986545,-0.0007086478290148079,-0.0013324833707883954
179,93.0,572.0,572.0,0.00019756534311454743,0.0001919496280606836,-0.00040524479118175805
180,94.0,578.0,578.0,-0.0005246239597909153,-0.00027487266925163567,-0.00013217274681665003
181,94.0,581.0,581.0,-0.000364575331332162,-0.00025995043688453734,0.0011809006100520492
182,97.0,591.0,591.0,0.002573122037574649,0.008590553887188435,-0.005289245396852493
183,97.0,594.0,594.0,0.006293540354818106,0.0032934548798948526,0.006875960621982813
184,97.0,596.0,596.0,-0.006718332413583994,0.0016012827400118113,0.009121330454945564
185,97.0,599.0,599.0,-0.0020462877582758665,-0.0041371905244886875,0.003008323721587658
186,97.0,603.0,603.0,-0.0024608734529465437,0.00141539063770324,-0.01952696032822132
187,98.0,607.0,607.0,0.012955126352608204,0.00751098245382309,0.022539542987942696
188,98.0,609.0,609.0,0.006063047330826521,0.01347297988831997,0.023348288610577583
189,99.0,613.0,613.0,0.009931952692568302,0.007270233705639839,-0.02765326388180256
190,99.0,615.0,615.0,-0.007859647274017334,-0.020496651530265808,0.02723558060824871
191,100.0,617.0,617.0,-0.006856151390820742,-0.0003000585420522839,0.009997300803661346
192,100.0,622.0,622.0,0.011371905915439129,0.004704155493527651,0.013237088918685913
193,101.0,628.0,628.0,-0.012656900100409985,0.011855999939143658,0.006121318321675062
194,101.0,631.0,631.0,0.010327467694878578,-0.004270676523447037,0.012942550703883171
195,102.0,634.0,634.0,-0.0023970131296664476,0.0006577236927114427,-0.00036676417221315205
196,102.0,637.0,637.0,-0.001693811733275652,0.0003584595979191363,0.01287646871060133
197,103.0,639.0,639.0,0.0007681798888370395,-0.0007110812584869564,0.0004971302696503699
198,103.0,642.0,642.0,-0.0014824450481683016,-0.0022637443616986275,0.0071379016153514385
199,104.0,645.0,645.0,0.004013669211417437,-0.0034955060109496117,0.004227851051837206
200,104.0,648.0,648.0,0.0007482474902644753,0.012364388443529606,0.007963788695633411
201,105.0,652.0,652.0,0.013840348459780216,0.0032766673248261213,0.022400155663490295
202,105.0,655.0,655.0,0.012558497488498688,0.004028238356113434,0.02092151716351509
203,105.0,658.0,658.0,-0.011819049715995789,-0.00567889679223299,-0.021096903830766678
204,106.0,661.0,661.0,0.003720909124240279,-0.0010596115607768297,0.014576330780982971
205,106.0,664.0,664.0,0.0026589769404381514,-0.002939001191407442,0.005760391242802143
206,107.0,667.0,667.0,-0.00849049910902977,0.006987967994064093,0.007588238455355167
207,107.0,670.0,670.0,-0.0001906539691844955,-0.01522005070000887,-0.003755509154871106
208,108.0,673.0,673.0,0.010604023933410645,0.007325102109462023,0.006527291610836983
209,108.0,676.0,676.0,-0.0059613329358398914,-0.002923334017395973,0.0015556453727185726
210,108.0,679.0,679.0,0.007457589264959097,0.012407328002154827,-0.007784545887261629
211,109.0,682.0,682.0,0.010722916573286057,0.009403694421052933,0.014453698880970478
212,109.0,685.0,685.0,0.012829164043068886,0.007661769632250071,0.0022449498064816
213,110.0,689.0,689.0,-0.031810589134693146,-0.016322800889611244,-0.004790176637470722
214,110.0,691.0,691.0,-0.0045638238079845905,-0.004777022637426853,-0.004420214798301458
